LBWsource,AGCnr
A092457.4+113231,190273
A092510.7+113159,192125
A092516.1+105314,190279
A093323.4+092918,192349
A093326.4+100041,191996
A093450.0+100401,192002
A093934.3+112941,193971
A094005.6+120016,192147
A094038.0+103506,191863
A094059.8+120150,192150
A094106.7+113024,190437
A094148.0+114025,192153
A094150.9+121101,190732
A094217.5+111833,192154
A094303.4+110446,192157
A100036.5+303210,205590
A100423.9+144920,734213
A100551.3+135456,734230
A100619.6+140010,205280
A100635.7+133630,202185
A100655.3+142719,734249
A100715.2+133307,202953
A100726.4+144937,734259
A100855.3+150808,734274
A100944.0+140535,202145
A100952.9+144347,734286
A102214.0+180622,208686
A104822.8+110547,202646
A111334.7+092931,211089
A114220.9+100510,213029
A114404.7+090953,213164
A114407.0+132027,213527
A114457.7+090348,213115
A114521.2+094808,213118
A114541.2+090355,213121
A114555.1+133058,213530
A114602.6+094523,213126
A114603.2+143838,215612
A114639.4+143338,215614
A114758.6+135438,215621
A115224.3+233737,210866
A115304.7+241509,731814
A115407.0+255146,731818
A115535.0+232953,719650
A115612.1+254751,724231
A115647.4+251027,724254
A115829.6+244606,731844
A115917.2+250927,731857
A115924.4+245536,731860
A115943.4+251704,731863
A120454.9+240648,731914
A121951.7+083253,225009
A122026.7+092527,220401
A122033.7+092755,224422
A122111.1+094758,224424
A122202.3+103716,220444
A122226.0+102112,224503
A122228.9+093735,224429
A122230.6+102314,222717
A122257.8+102839,222720
A122257.8+103254,7452
A122258.8+102825,229438
A122303.7+103750,229432
A122310.2+103833,229431
A122344.6+092017,220497
A122352.0+093603,224439
A122355.2+103447,222731
A122401.8+085523,224440
A122402.6+105054,222732
A122413.3+093553,224441
A122414.7+091600,220511
A122417.7+092004,220512
A122419.5+092930,220513
A122437.4+105019,220523
A122440.8+090922,224443
A122543.0+090135,220554
A122644.3+090254,220590
A122713.6+085406,224451
A122736.1+091201,224453
A122759.3+095422,224456
A122807.6+082551,229039
A122949.8+093608,224458
A131503.4+243707,230196
A132047.4+220216,742920
A132622.0+115821,232374
A132654.1+113345,230339
A132722.6+122117,230344
A132725.9+115049,232219
A132741.2+112027,232381
A132848.6+110157,232222
A132855.5+110149,239137
A132902.4+105456,232290
A132913.3+115612,230358
A132914.8+113560,232398
A132925.7+115436,230365
A132928.4+113919,233870
A132929.4+113729,8478
A132936.4+114850,232224
A132939.6+111612,232406
A133009.6+105724,232291
A133049.9+114946,233738
A133230.3+250725,238890
A133301.5+120307,233874
A135707.5+264630,238822
A140001.8+092035,730071
A140031.0+085358,230924
A140144.1+095206,230953
A140154.9+092244,249359
A140156.3+085640,231064
A140156.7+093200,230959
A140222.0+095815,730093
A140224.3+092958,231836
A140247.5+091932,249350
A140249.6+091858,249351
A140255.0+092058,240011
A140304.4+085651,240015
A140307.1+092147,240016
A140312.9+093122,715690
A140331.2+091315,240025
A140341.2+093423,8971
A140347.3+093125,240029
A140455.1+085513,249349
A140925.5+080843,713868
A141058.0+092242,249588
A141411.5+080611,249160
A142520.7+254229,726535
A142639.9+255136,726560
A142723.4+255240,245754
A142728.7+253755,245756
A142750.8+255017,240380
A142813.2+255649,241231
A142829.9+255136,245785
A142846.6+271502,240397
A142860.0+264746,726610
A142922.6+273034,726619
A142949.0+272153,732949
A143021.9+255446,245833
A143038.3+250949,732951
A143102.2+260027,732952
A143116.6+031524,242160
A143226.3+231640,245228
A143344.8+251034,726703
A143414.6+253543,732971
A143819.2+033828,240552
A143933.2+031325,242874
A143937.8+030848,240572
A144029.3+032558,241975
A144037.9+032237,241622
A144059.3+030812,9463
A144533.6+315456,245258
A145201.9+025842,242989
A150001.3-010528,540166
A150100.9+010050,253623
A150111.2+014206,9655
A150115.3+012954,253624
A150138.6+015213,254078
A150442.7+011727,252423
A150444.0+123903,251599
A150528.5+011733,252398
A150605.7+132119,258002
A150624.8+124524,736557
A150629.2+013618,9706
A150635.8+131843,736561
A150701.4+123419,736571
A150805.8+013905,250103
A150809.3+013632,250105
A150904.3+004919,253746
A151131.4+071508,250239
A151208.2+013509,253656
A151222.8+304856,254090
A151241.4+013724,253667
A151313.1+071331,250327
A151509.4+024506,253506
A151729.5+033508,253262
A151832.1+310940,254097
A151913.3+023241,733977
A152226.9+132944,258697
A153434.8+251330,727172
A153437.6+251311,258623
A153440.2+251355,727175
A153705.1+244644,727206
A155445.1+143502,738015
A160151.8+175540,747288
A160953.5+133148,260295
A160958.5+224409,261893
A161735.9+135148,738601
A161741.3+140349,738604
A161841.0+153823,262410
A161910.5+140801,260422
A161918.9+154033,715317
A161941.4+131458,260426
A161942.1+135546,715324
A161957.3+142102,715327
A162019.1+144024,268099
A162049.6+144414,260435
A162126.8+142827,260443
A162133.3+142822,260445
A162516.5+140017,715436
A162557.4+203933,260509
A162559.0+135845,715449
A165816.1+254902,262752
H090145.3+125929,180589
H090852.2+143530,191791
H091222.9+122952,4842
H092734.6+121609,190299
H093852.2+112918,193832
H110701.2+302508,219660
H150748.1+023318,9726
H152834.9+061429,258472
H153509.2+163250,9912
H160333.3+171136,260043
H163802.5+262651,262736
